efficiency,grad
1.797618525,-37.30468545
1.597207812,-32.21036699
1.386960091,-27.71922424
1.223654848,-23.78283901
1.091755956,-20.30520435
0.9961308035,-17.27747564
0.9312801839,-14.6215349
0.8924826856,-12.31596138
0.8747243371,-10.2904281
0.8742312826,-8.522911418
0.881214108,-7.012029009
0.893491372,-5.707889898
0.9091014231,-4.582765438
0.9249965156,-3.611558872
0.9403730018,-2.779481302
0.9585306955,-2.067567999
0.975640118,-1.466559457
0.9858700846,-0.9630013578
0.9951828441,-0.526073111
1,0
1.006864897,0.5279234377
1.018277209,0.9634764677
1.033256382,1.464979965
1.056844215,2.06797268
1.086334295,2.781747673
1.118913451,3.614769314
1.160831816,4.58822651
1.214048221,5.714814174
1.280981752,7.024513377
1.367236599,8.5359933
1.479558566,10.30471628
1.625794452,12.33236121
1.814365101,14.64564902
2.04797737,17.29972467
2.322742961,20.32976912
2.622862383,23.7904381
2.965195382,27.72587255
3.335246391,32.19915102
3.720039953,37.2854956
